neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,price
Manhattan,Midtown,40.752759999999995,-73.96582,Entire home/apt,28,1,0.23,49,251,675
Brooklyn,Bushwick,40.682320000000004,-73.9058,Entire home/apt,1,1,0.12,1,85,100
Queens,Long Island City,40.755590000000005,-73.9208,Private room,2,62,1.96,1,118,95
Brooklyn,Bushwick,40.7046,-73.92198,Private room,1,18,1.11,1,19,55
Manhattan,Harlem,40.81453,-73.94807,Entire home/apt,3,8,0.14,3,303,226
Manhattan,Midtown,40.7575,-73.9643,Entire home/apt,2,3,3.0,1,43,185
Brooklyn,Greenpoint,40.723729999999996,-73.94088,Private room,3,9,0.69,1,365,100
Brooklyn,Kensington,40.64277,-73.97946999999999,Entire home/apt,1,1,0.02,2,0,81
Manhattan,Upper West Side,40.78519,-73.97032,Entire home/apt,5,0,0.0,1,0,150
Manhattan,Chelsea,40.75114,-73.99831,Entire home/apt,30,0,0.0,1,341,123
Brooklyn,Bedford-Stuyvesant,40.695640000000004,-73.93335,Private room,10,0,0.0,1,0,35
Bronx,Allerton,40.8687,-73.8524,Private room,7,2,0.17,1,90,35
Manhattan,Midtown,40.76427,-73.97618,Private room,1,1,1.0,14,349,375
Queens,Ridgewood,40.69928,-73.90616,Private room,1,59,3.99,2,162,75
Manhattan,West Village,40.730779999999996,-74.00282,Entire home/apt,2,140,2.1,5,319,210
Manhattan,Chelsea,40.74601,-73.99987,Private room,1,1,0.02,1,0,98
Manhattan,Harlem,40.82582,-73.94876,Private room,1,6,0.24,1,0,65
Brooklyn,Flatbush,40.64135,-73.96325,Private room,2,24,1.07,4,0,90
Queens,Flushing,40.753479999999996,-73.81785,Entire home/apt,2,204,4.05,3,313,105
Brooklyn,Gowanus,40.6812,-73.98186,Private room,3,2,0.15,1,0,85
Manhattan,Harlem,40.822540000000004,-73.9501,Entire home/apt,30,0,0.0,1,102,110
Manhattan,Upper East Side,40.77362,-73.94886,Entire home/apt,1,11,4.34,1,26,130
Brooklyn,Williamsburg,40.7069,-73.95467,Private room,17,14,0.14,4,362,60
Manhattan,East Village,40.72803,-73.98111999999999,Entire home/apt,1,1,1.0,1,365,500
Manhattan,Financial District,40.71012,-74.00828,Private room,5,6,0.37,1,0,110
Manhattan,Gramercy,40.73742,-73.98052,Entire home/apt,2,0,0.0,1,0,249
Brooklyn,Williamsburg,40.7049,-73.93301,Entire home/apt,3,2,0.37,1,0,250
Brooklyn,Carroll Gardens,40.68308,-73.9912,Entire home/apt,30,57,2.74,1,84,175
Brooklyn,Williamsburg,40.717420000000004,-73.95846999999999,Entire home/apt,1,58,1.36,2,287,165
Brooklyn,Borough Park,40.64032,-73.99728,Private room,30,0,0.0,43,361,50
Brooklyn,Bensonhurst,40.61268,-73.98857,Entire home/apt,30,0,0.0,1,312,100
Manhattan,Little Italy,40.71909,-73.99731,Private room,5,3,0.17,2,42,70
Manhattan,Midtown,40.74978,-73.96977,Entire home/apt,30,0,0.0,33,365,175
Queens,Jackson Heights,40.74946,-73.89505,Entire home/apt,1,1,0.06,2,0,65
Manhattan,East Village,40.723659999999995,-73.9903,Entire home/apt,2,11,0.99,1,0,299
Queens,Astoria,40.763870000000004,-73.92593000000001,Entire home/apt,4,3,0.06,1,0,108
Brooklyn,Bedford-Stuyvesant,40.68884,-73.95059,Private room,5,9,0.19,2,33,60
Manhattan,Tribeca,40.71928,-74.00799,Entire home/apt,2,0,0.0,1,88,1000
Brooklyn,Bedford-Stuyvesant,40.68193,-73.93569000000001,Entire home/apt,3,11,1.25,1,105,150
Brooklyn,Williamsburg,40.718740000000004,-73.94055,Entire home/apt,3,21,0.61,1,0,123
Manhattan,Harlem,40.80666,-73.95691,Private room,6,4,1.02,1,0,90
Brooklyn,Bedford-Stuyvesant,40.69031,-73.95855,Private room,3,2,0.24,1,0,59
Brooklyn,Cobble Hill,40.6901,-73.99523,Private room,10,19,1.06,1,0,85
Queens,Astoria,40.77029,-73.92493,Entire home/apt,1,38,0.74,2,263,99
Brooklyn,Williamsburg,40.707240000000006,-73.94216999999999,Private room,3,10,0.17,2,0,95
Manhattan,Upper East Side,40.766659999999995,-73.95506999999999,Entire home/apt,7,1,0.03,1,0,65
Manhattan,East Harlem,40.7888,-73.94247,Entire home/apt,30,13,0.37,16,330,135
Manhattan,Harlem,40.80874,-73.94167,Entire home/apt,30,3,0.27,4,0,300
Manhattan,East Village,40.73193,-73.99126,Entire home/apt,30,1,0.04,87,356,267
Manhattan,Chelsea,40.74009,-73.99608,Entire home/apt,2,10,0.59,1,0,625
Manhattan,Washington Heights,40.8545,-73.93169,Shared room,1,0,0.0,1,89,50
Brooklyn,Sheepshead Bay,40.60111,-73.95702,Private room,2,7,3.82,1,124,50
Manhattan,Upper West Side,40.77661,-73.98228,Entire home/apt,4,3,0.08,1,0,250
Manhattan,Midtown,40.75235,-73.96781,Entire home/apt,30,2,0.04,5,315,105
Manhattan,Chinatown,40.71485,-73.99157,Private room,1,2,0.07,1,0,65
Brooklyn,Bedford-Stuyvesant,40.68602,-73.94844,Private room,1,8,6.32,2,36,68
Brooklyn,Crown Heights,40.67783,-73.94209000000001,Private room,1,8,0.34,1,0,65
Manhattan,Upper East Side,40.78333,-73.94996,Entire home/apt,1,0,0.0,1,0,300
Brooklyn,Flatbush,40.64528,-73.9612,Private room,6,2,0.06,1,249,95
Brooklyn,South Slope,40.66956,-73.98921999999999,Entire home/apt,2,4,4.0,1,345,195
Brooklyn,Bedford-Stuyvesant,40.69373,-73.95040999999999,Private room,30,35,3.04,3,348,65
Brooklyn,Prospect-Lefferts Gardens,40.66049,-73.96162,Shared room,1,0,0.0,6,211,40
Manhattan,Hell's Kitchen,40.76405,-73.99004000000001,Entire home/apt,4,0,0.0,1,95,299
Brooklyn,Greenpoint,40.7323,-73.95260999999999,Entire home/apt,2,3,0.12,1,0,150
Brooklyn,Williamsburg,40.71852,-73.95616,Entire home/apt,6,32,0.43,1,291,175
Brooklyn,Bedford-Stuyvesant,40.68737,-73.93132,Private room,30,0,0.0,27,343,42
Manhattan,Chelsea,40.75,-73.99637,Entire home/apt,3,0,0.0,1,0,395
Brooklyn,East Flatbush,40.638259999999995,-73.93186,Private room,4,21,0.93,2,320,47
Bronx,Clason Point,40.80644,-73.8518,Private room,2,33,3.21,1,47,48
Brooklyn,Bushwick,40.70071,-73.92468000000001,Private room,2,9,0.14,1,0,80
Manhattan,Upper West Side,40.79526,-73.9655,Entire home/apt,1,23,0.63,1,0,387
